"","taxon","mk.tau","mk.Sen","mk.pval","mk.inter","mk.trend","nyears","mean.proportion","med.proportion"
"159","Gastropoda",-0.00952380952380952,0,0.934191641443611,0,"none",1,0.854700854700855,0.854700854700855
"160","Gammarus",-0.223809523809524,0,0.0213939524724451,0,"negative",3,5.1429823488647,2.7027027027027
"161","Forcipomyiinae",0.133333333333333,0.119464550287028,0.414890939658485,-232.40133164698,"none",21,8.00295748117972,8.08080808080808
"162","Farula",-0.0238095238095238,0,0.889376163017829,0,"none",8,1.06594692687003,0.939484827099506
"163","Erpobdella",0.195238095238095,0.0761521760717353,0.225891693287204,-150.464141753158,"none",18,2.76695094958325,2.85740203193033
"164","Erioptera",0.152380952380952,0,0.168726924155147,0,"none",4,1.17120131076337,0.930413709537822
"165","Epiphragma",0.0380952380952381,0,0.563260084128636,0,"none",1,0.917431192660551,0.917431192660551
"166","Ephydridae",0.204761904761905,0.0192573684073777,0.194428016493965,-37.8476514113908,"none",14,2.08010430283384,1.34975035965135
"167","Ephemerellidae",-0.138095238095238,-0.0492588672388894,0.395733815726623,100.976281570066,"none",17,3.32271575361731,1.8348623853211
"168","Ephemerella.tibialis",-0.485714285714286,-0.723015871868897,0.00228925857789761,1471.79458643573,"negative",21,18.5915245247439,16.3636363636364
"169","Ephemerella.Excrucians.Group",0.495238095238095,0.677609427609428,0.00185118859574354,-1359.81725146199,"positive",19,7.1883735440135,5.12820512820513
"170","Ephemerella.aurivillii",-0.00952380952380952,0,0.969573565731653,0,"none",6,0.930579098092084,0.909090909090909
"171","Ephemerella",-0.180952380952381,-0.219600656247846,0.263436190903716,450.219386333036,"none",20,9.75824800738836,8.4085557299843
"172","Ephemera",-0.0952380952380952,0,0.116677449158471,0,"none",1,1.17647058823529,1.17647058823529
"173","Epeorus.longimanus",-0.547619047619048,-0.0937605722294718,3.67403238658806e-05,188.740031897927,"negative",7,4.47768733283247,3.2258064516129
"174","Epeorus.Grandis.Group",-0.452380952380952,-0.146198830409357,0.000666433317045145,294.298245614035,"negative",7,5.59731754903052,5.26315789473684
"175","Epeorus.deceptivus",-0.0857142857142857,0,0.160399622796926,0,"none",1,1.35135135135135,1.35135135135135
"176","Epeorus.Albertae.Group",-0.461904761904762,0,0.000253122922019708,0,"negative",6,1.72670248059371,1.06395019807583
"177","Epeorus",0.466666666666667,0.785889737084575,0.00333167857259174,-1568.7307346288,"positive",18,12.4673862231274,13.7747035573123
"178","Eocosmoecus",-0.0857142857142857,0,0.160399622796926,0,"none",1,1.35135135135135,1.35135135135135
"179","Empididae.Genus.A",0.0571428571428571,0,0.363722327380711,0,"none",1,0.943396226415094,0.943396226415094
"180","Empididae",0.204761904761905,0.19732920377572,0.204081420192447,-392.27319215102,"none",20,6.53028166932183,5.08394317692639
"181","Eloeophila",0.0571428571428571,0.0101039994499599,0.739534808184702,-14.8347637368059,"none",20,5.74657324546107,5.5045871559633
"182","Ectopria",0.0714285714285714,0,0.402503490374632,0,"none",2,0.926243567753002,0.926243567753002
"183","Ecclisomyia",-0.39047619047619,-0.0989424226762856,0.0137108300781332,200.880498556765,"negative",16,2.25647835147661,1.90493468795356
"184","Ecclisocosmoecus",-0.0952380952380952,0,0.116677449158471,0,"none",1,1.17647058823529,1.17647058823529
"185","Dytiscidae",-0.276190476190476,-0.242647052326147,0.0849253835949192,496.630334514352,"none",21,8.7254090955655,8.18181818181818
"186","Drunella.pelosa",0.0285714285714286,0,0.679708154348493,0,"none",1,0.917431192660551,0.917431192660551
"187","Drunella.grandis_spinifera",-0.333333333333333,-0.270121906556718,0.0370248309461904,546.725694928376,"negative",20,4.3792547748467,3.40822543792841
"188","Drunella.doddsii",-0.371428571428571,-0.220779899678982,0.0200632459497888,463.5603728364,"negative",21,19.784558372301,19.1304347826087
"189","Drunella.coloradensis_flavilinea",-0.223809523809524,-0.0731036296221034,0.164108289696453,149.177808449496,"none",18,2.46451405383594,2.38404452690167
"190","Drunella",0.285714285714286,0.217069828118058,0.0661828431054205,-433.357960398048,"none",13,5.11675461536595,4.58715596330275
"191","Doroneuria",-0.128571428571429,-0.0782084669611074,0.432173260716287,164.960525713139,"none",21,7.63445706003143,7.52688172043011
"192","Dolophilodes",0.0952380952380952,0.0469263181760847,0.563161780082252,-92.3574153305638,"none",16,3.31333667948636,3.24995672494374
"193","Dolichopodidae",0.223809523809524,0.044213309519432,0.158930780209356,-87.9809838993513,"none",15,1.77043508514656,1.81818181818182
"194","Dixidae",0.314285714285714,0.00345424214562502,0.032927718805803,-6.95338943914316,"positive",10,1.21807442705102,0.99009900990099
"195","Dixella",-0.285714285714286,-0.00568536271738853,0.0531139697935267,11.4446351501031,"none",10,1.99585622253856,1.11455108359133
